Flora Description,Flora Type,Installation Date,Location
Echinacea ;Tiki Torch;  75ct,PERENNIAL,10/12/2012,Meatpacking District
Hemerocallis ;Spellbinder;  30ct,PERENNIAL,10/12/2012,Meatpacking District
Origanum ;Kent Beauty;   50ct,PERENNIAL,10/12/2012,Meatpacking District
Geranium biokora  80ct,PERENNIAL,10/12/2012,Meatpacking District
Heuchera ;Christa;  70ct,PERENNIAL,10/12/2012,Meatpacking District
Aster novae-angliae ;Purple Dome;  35ct,PERENNIAL,10/12/2012,Meatpacking District
Imperata koenigii ;Red Baron;  380ct,PERENNIAL,10/12/2012,Meatpacking District
Gaillardia ;Oranges and Lemons;   60ct,PERENNIAL,10/12/2012,Meatpacking District
Hosta ;Sum & Substance;  6ct,PERENNIAL,10/12/2012,Meatpacking District
Hemerocallis ;Ruffled Apricot; 60ct,PERENNIAL,10/12/2012,Meatpacking District
Hemerocallis ;Ruby Stella;  60ct,PERENNIAL,10/12/2012,Meatpacking District
Veronica ;Sunny Border;   100ct,PERENNIAL,10/12/2012,Meatpacking District
Geum ;Totally Tangerine;   60ct,PERENNIAL,10/12/2012,Meatpacking District
Euonymus ;Gold Splash;  75ct,SHRUB,10/12/2012,Meatpacking District
Rosa ;Rainbow Knockout;   12ct,SHRUB,10/12/2012,Meatpacking District
Rosa ;Sunny Knockout;   12ct,SHRUB,10/12/2012,Meatpacking District
Hydrangea macrophylla ;Nikko;   3ct,SHRUB,10/12/2012,Meatpacking District
Habitat Heliport Plant Bed,PLANTBED,04/26/2012,Chelsea
Rhudebeckia Fuldiga ;Goldstrum; 60ct,PERENNIAL,04/26/2012,Chelsea
Helenium Sahin;s ;Early Flowerer; 40ct,PERENNIAL,04/26/2012,Chelsea
Panicum var. shenandoa 40ct,PERENNIAL,04/26/2012,Chelsea
Echinacea purpurea ;White Swan; 50ct,PERENNIAL,04/26/2012,Chelsea
Echinacea ;Kim;s Knee High; 30ct,PERENNIAL,04/26/2012,Chelsea
Habitat Plant Bed,PLANTBED,04/26/2012,Chelsea
South Habitat Plant Bed,PLANTBED,04/26/2012,Chelsea
Narcissus,PERENNIAL,04/02/2012,Tribeca
Liriope muscari ;Big Blue; 600ct,PERENNIAL,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Zelkova serrata ;Green Vase;,TREE,04/02/2012,Greenwich Village
Pyrus calleryana,TREE,04/02/2012,Greenwich Village
Fothergilla gardenii 5ct,SHRUB,04/02/2012,Greenwich Village
Pier 40 Front North,PLANTBED,04/02/2012,Greenwich Village
Liriope muscari ;Big Blue; 300ct,PERENNIAL,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Malus ;Prairie Fire;,TREE,04/02/2012,Greenwich Village
Fothergilla gardenii 10ct,SHRUB,04/02/2012,Greenwich Village
Prunus spp,TREE,04/02/2012,Greenwich Village
Prunus spp,TREE,04/02/2012,Greenwich Village
Zelkova serrata ;Green Vase; in turnaround,TREE,04/02/2012,Greenwich Village
Zelkova serrata ;Green Vase; in turnaround,TREE,04/02/2012,Greenwich Village
Zelkova serrata ;Green Vase; in turnaround,TREE,04/02/2012,Greenwich Village
Zelkova serrata ;Green Vase; in turnaround,TREE,04/02/2012,Greenwich Village
26th Street Maintenance Building - foundation planting,PLANTBED,03/16/2012,Meatpacking District
Segment 4 Turf on Pier 45,TURF,03/14/2012,Greenwich Village
Gailardia ;Arizona Sun; 120ct,PERENNIAL,09/28/2011,Tribeca
Dianthus gratianapolitanus 230ct,PERENNIAL,09/28/2011,Tribeca
Nepeta faasenii ;Blue Wonder; 150ct,PERENNIAL,09/28/2011,Tribeca
Buxus sempervirens 9ct,SHRUB,08/15/2011,Meatpacking District
Hibiscus syriana ;Diana; 2ct,SHRUB,08/15/2011,Meatpacking District
Hydrangea paniculata ;Tardiva; 11ct,SHRUB,08/15/2011,Meatpacking District
Quercus macrocarpa,TREE,09/28/2007,Tribeca
Sedum spectabilis ;Autumn Joy; 5ct,PERENNIAL,08/15/2011,Meatpacking District
Salvia nemerosa ;Viola Klose; 40ct,PERENNIAL,08/15/2011,Meatpacking District
Taxus x media ;Hatfieldii; 4ct,SHRUB,08/15/2011,Meatpacking District
Viburnum plicatum var. tomentosum ;Shasta; 9ct,SHRUB,08/15/2011,Meatpacking District
Buxus sempervirens 6ct,SHRUB,08/15/2011,Meatpacking District
Hibiscus syriana ;Diana; 2ct,SHRUB,08/15/2011,Meatpacking District
Hydrangea paniculata ;Tardiva; 20ct,SHRUB,08/15/2011,Meatpacking District
Hydrangea macrophylla ;Blue Wave; 6ct,SHRUB,08/15/2011,Meatpacking District
Sedum spectabilis ;Autumn Joy; 20ct,PERENNIAL,08/15/2011,Meatpacking District
Salvia nemerosa ;Viola Klose; 12ct,PERENNIAL,08/15/2011,Meatpacking District
Viburnum plicatum var. tomentosum ;Shasta; 11ct,SHRUB,08/15/2011,Meatpacking District
Hibiscus syriana ;Diana; 2ct,SHRUB,08/15/2011,Meatpacking District
Hydrangea paniculata ;Tardiva; 10ct,SHRUB,08/15/2011,Meatpacking District
Hydrangea macrophylla ;Blue Wave; 5ct,SHRUB,08/15/2011,Meatpacking District
Taxus x media ;Hatfieldii; 19ct,SHRUB,08/15/2011,Meatpacking District
Salvia nemerosa ;Viola Klose; 35ct,PERENNIAL,08/15/2011,Meatpacking District
Sedum spectabilis ;Autumn Joy; 30ct,PERENNIAL,08/15/2011,Meatpacking District
Viburnum plicatum var. tomentosum ;Shasta; 11ct,SHRUB,08/15/2011,Meatpacking District
Hydrangea macrophylla ;Nikko Blue; 11ct,SHRUB,08/15/2011,Meatpacking District
Aster dumosus ;Peter Harrison; 100ct,PERENNIAL,05/28/2011,Tribeca
Nepeta faasenii ;Blue Wonder; 300ct,PERENNIAL,05/28/2011,Tribeca
Astilbe ;Irrlight; 75ct,PERENNIAL,05/28/2011,Tribeca
Astilbe ;Peaches and Cream; 100ct,PERENNIAL,05/28/2011,Tribeca
Veronica ;Royal Candles; 125ct,PERENNIAL,05/28/2011,Tribeca
Veronica ;Sunny Border Blue; 50ct,PERENNIAL,05/28/2011,Tribeca
Veronica ;Sunny Border Blue; 150ct,PERENNIAL,05/28/2011,Tribeca
Chelsea Waterside Park Turf,TURF,04/01/2011,Meatpacking District
Irrigation System 5B 14th st. Park,IRRIGATE,04/01/2011,Meatpacking District
CWP North Turf by Half Moons,TURF,04/01/2011,Meatpacking District
Lagerstroemia ;Natchez;,TREE,11/02/2010,Tribeca
Lagerstroemia ;Natchez;,TREE,11/02/2010,Tribeca
Chelsea Display Garden South Bed,PLANTBED,11/02/2010,Meatpacking District
Abies concolor,TREE,11/02/2010,Meatpacking District
Abies concolor,TREE,11/02/2010,Meatpacking District
Abies concolor,TREE,11/02/2010,Meatpacking District
Amsonia hubrectii 17ct,PERENNIAL,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 88ct,PERENNIAL,11/02/2010,Meatpacking District
Alchemilla mollis 13ct,PERENNIAL,11/02/2010,Meatpacking District
Aster ;Purple Dome; 11ct,PERENNIAL,11/02/2010,Meatpacking District
Bergenia ;Bressingham Ruby; 20ct,PERENNIAL,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 29ct,SHRUB,11/02/2010,Meatpacking District
Buxus ;Green Velvet; 53ct,SHRUB,11/02/2010,Meatpacking District
Cornus alba ;Elegantissima; 9ct,SHRUB,11/02/2010,Meatpacking District
Ceratostigma 6ct,PERENNIAL,11/02/2010,Meatpacking District
Ceratostigma 18ct,PERENNIAL,11/02/2010,Meatpacking District
Cercis canadensis,TREE,11/02/2010,Meatpacking District
Cercis canadensis,TREE,11/02/2010,Meatpacking District
Cornus sanguinea ;Midwinter Fire; 6ct,SHRUB,11/02/2010,Meatpacking District
Euphorbia amygdaloides var. ;Robbiae; 95ct,PERENNIAL,11/02/2010,Meatpacking District
Geranium ;Rozanne; 51ct,PERENNIAL,11/02/2010,Meatpacking District
Hemerocallis ;Happy Returns; 40ct,PERENNIAL,11/02/2010,Meatpacking District
Hosta plantaginea 15ct,PERENNIAL,11/02/2010,Meatpacking District
Heuchera americana ;Plum Pudding; 13ct,PERENNIAL,11/02/2010,Meatpacking District
Hydrangea paniculata ;Tardiva; 3ct,SHRUB,11/02/2010,Meatpacking District
Hydrangea quercifolia 4ct,SHRUB,11/02/2010,Meatpacking District
Hibiscus syriacus ;Bluebird;  2ct,SHRUB,11/02/2010,Meatpacking District
Hypericum calycinum 10ct,SHRUB,11/02/2010,Meatpacking District
Imperata cylindrica 41ct,PERENNIAL,11/02/2010,Meatpacking District
Ilex opaca,TREE,11/02/2010,Meatpacking District
Ilex opaca,TREE,11/02/2010,Meatpacking District
Ilex verticillata 9ct,SHRUB,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Juniperus squamata ;Blue Star; 8ct,SHRUB,11/02/2010,Meatpacking District
Lagerstroemia ;Natchez;,TREE,11/02/2010,Meatpacking District
Lagerstroemia ;Natchez;,TREE,11/02/2010,Meatpacking District
Miscanthus sinensis ;Morning Light; 4ct,GRASS,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 47ct,PERENNIAL,11/02/2010,Meatpacking District
Pinus spp,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 64ct,PERENNIAL,11/02/2010,Meatpacking District
Prunus laurocerasus 15ct,SHRUB,11/02/2010,Meatpacking District
Picea pungens ;Montgomery; 2ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 24ct,SHRUB,11/02/2010,Meatpacking District
Sedum spectabilis ;Autumn Joy; 23ct,PERENNIAL,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 64ct,PERENNIAL,11/02/2010,Meatpacking District
Spirea thunbergii ;Ogon; 11ct,SHRUB,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 11ct,PERENNIAL,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 3ct,SHRUB,11/02/2010,Meatpacking District
Chelsea Display Garden 3rd Westernmost Central Bed,PLANTBED,11/02/2010,Meatpacking District
Amsonia hubrectii 10ct,PERENNIAL,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 42ct,PERENNIAL,11/02/2010,Meatpacking District
Aster ;Purple Dome; 5ct,PERENNIAL,11/02/2010,Meatpacking District
Bergenia ;Bressingham Ruby; 16ct,PERENNIAL,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 9ct,SHRUB,11/02/2010,Meatpacking District
Buxus ;Green Velvet; 20ct,SHRUB,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 4ct,SHRUB,11/02/2010,Meatpacking District
Hemerocallis ;Happy Returns; 51ct,PERENNIAL,11/02/2010,Meatpacking District
Hosta plantaginea 17ct,PERENNIAL,11/02/2010,Meatpacking District
Hydrangea quercifolia 4ct,SHRUB,11/02/2010,Meatpacking District
Hibiscus syriacus ;Bluebird;  1ct,SHRUB,11/02/2010,Meatpacking District
Hypericum calycinum 7ct,SHRUB,11/02/2010,Meatpacking District
Imperata cylindrica 64ct,PERENNIAL,11/02/2010,Meatpacking District
Juniperus squamata ;Blue Star; 8ct,SHRUB,11/02/2010,Meatpacking District
Lagerstroemia ;Natchez;,TREE,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 18ct,PERENNIAL,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 16ct,PERENNIAL,11/02/2010,Meatpacking District
Picea pungens ;Montgomery; 1ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 8ct,SHRUB,11/02/2010,Meatpacking District
Sedum spectabilis ;Autumn Joy; 23ct,PERENNIAL,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 29ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum cauticola ;Lidakense; 7ct,PERENNIAL,11/02/2010,Meatpacking District
Taxus spp 3ct,SHRUB,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 14ct,PERENNIAL,11/02/2010,Meatpacking District
Quercus coccinea,TREE,09/28/2007,Tribeca
Chelsea Display Garden Westernmost Central Bed,PLANTBED,11/02/2010,Meatpacking District
Lagerstroemia ;Natchez;,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 33ct,PERENNIAL,11/02/2010,Meatpacking District
Aster ;Purple Dome; 4ct,PERENNIAL,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 6ct,SHRUB,11/02/2010,Meatpacking District
Buxus ;Green Velvet; 10ct,SHRUB,11/02/2010,Meatpacking District
Ceratostigma 5ct,PERENNIAL,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 2ct,SHRUB,11/02/2010,Meatpacking District
Hemerocallis ;Happy Returns; 9ct,PERENNIAL,11/02/2010,Meatpacking District
Hibiscus syriacus ;Bluebird;  1ct,SHRUB,11/02/2010,Meatpacking District
Hosta plantaginea 9ct,PERENNIAL,11/02/2010,Meatpacking District
Hydrangea quercifolia 2ct,SHRUB,11/02/2010,Meatpacking District
Hypericum calycinum 8ct,SHRUB,11/02/2010,Meatpacking District
Juniperus squamata ;Blue Star; 2ct,SHRUB,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 30ct,PERENNIAL,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 16ct,PERENNIAL,11/02/2010,Meatpacking District
Picea pungens ;Montgomery; 1ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 3ct,SHRUB,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 25ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum cauticola ;Lidakense; 20ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum spectabilis ;Autumn Joy; 7ct,PERENNIAL,11/02/2010,Meatpacking District
Taxus spp 3ct,SHRUB,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 7ct,PERENNIAL,11/02/2010,Meatpacking District
Chelsea Display Garden 2nd Westernmost Central Bed,PLANTBED,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 8ct,SHRUB,11/02/2010,Meatpacking District
Cornus alba ;Elegantissima; 2ct,SHRUB,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 2ct,SHRUB,11/02/2010,Meatpacking District
Hosta plantaginea 11ct,PERENNIAL,11/02/2010,Meatpacking District
Hydrangea quercifolia 2ct,SHRUB,11/02/2010,Meatpacking District
Imperata cylindrica 23ct,PERENNIAL,11/02/2010,Meatpacking District
Juniperus squamata ;Blue Star; 3ct,SHRUB,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 35ct,PERENNIAL,11/02/2010,Meatpacking District
Picea pungens ;Montgomery; 1ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 6ct,SHRUB,11/02/2010,Meatpacking District
Bergenia ;Bressingham Ruby; 13ct,PERENNIAL,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 13ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum cauticola ;Lidakense; 8ct,PERENNIAL,11/02/2010,Meatpacking District
Spirea thunbergii ;Ogon; 3ct,SHRUB,11/02/2010,Meatpacking District
Taxus spp 3ct,SHRUB,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 6ct,PERENNIAL,11/02/2010,Meatpacking District
Chelsea Display Garden Easternmost Central Bed,PLANTBED,11/02/2010,Meatpacking District
Aster ;Purple Dome; 5ct,PERENNIAL,11/02/2010,Meatpacking District
Bergenia ;Bressingham Ruby; 16ct,PERENNIAL,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 4ct,SHRUB,11/02/2010,Meatpacking District
Hosta plantaginea 17ct,PERENNIAL,11/02/2010,Meatpacking District
Hibiscus syriacus ;Bluebird;  1ct,SHRUB,11/02/2010,Meatpacking District
Imperata cylindrica 64ct,PERENNIAL,11/02/2010,Meatpacking District
Lagerstroemia ;Natchez;,TREE,11/02/2010,Meatpacking District
Sedum spectabilis ;Autumn Joy; 23ct,PERENNIAL,11/02/2010,Meatpacking District
Taxus spp 3ct,SHRUB,11/02/2010,Meatpacking District
Amsonia hubrectii 11ct,PERENNIAL,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 18ct,PERENNIAL,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 17ct,SHRUB,11/02/2010,Meatpacking District
Buxus ;Green Velvet; 17ct,SHRUB,11/02/2010,Meatpacking District
Hemerocallis ;Happy Returns; 14ct,PERENNIAL,11/02/2010,Meatpacking District
Hydrangea quercifolia 2ct,SHRUB,11/02/2010,Meatpacking District
Hypericum calycinum 18ct,SHRUB,11/02/2010,Meatpacking District
Ilex crenata ;Sky Pencil;,TREE,11/02/2010,Meatpacking District
Juniperus squamata ;Blue Star; 4ct,SHRUB,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 14ct,PERENNIAL,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 22ct,PERENNIAL,11/02/2010,Meatpacking District
Picea pungens ;Montgomery; 1ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 7ct,SHRUB,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 18ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum cauticola ;Lidakense; 10ct,PERENNIAL,11/02/2010,Meatpacking District
Spirea thunbergii ;Ogon; 1ct,SHRUB,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 5ct,PERENNIAL,11/02/2010,Meatpacking District
Chelsea Display Garden 3rd Westernmost North Bed,PLANTBED,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Picea pungens ;Montgomery; 1ct,SHRUB,11/02/2010,Meatpacking District
Ilex crenata ;Sky Pencil;,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Taxus spp 3ct,SHRUB,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 9ct,SHRUB,11/02/2010,Meatpacking District
Buxus ;Green Velvet; 15ct,SHRUB,11/02/2010,Meatpacking District
Hydrangea quercifolia 1ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 6ct,SHRUB,11/02/2010,Meatpacking District
Spirea thunbergii ;Ogon; 3ct,SHRUB,11/02/2010,Meatpacking District
Amsonia hubrectii 16ct,PERENNIAL,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 24ct,PERENNIAL,11/02/2010,Meatpacking District
Hemerocallis ;Happy Returns; 12ct,PERENNIAL,11/02/2010,Meatpacking District
Hosta plantaginea 10ct,PERENNIAL,11/02/2010,Meatpacking District
Imperata cylindrica 22ct,PERENNIAL,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 42ct,PERENNIAL,11/02/2010,Meatpacking District
Pennisetum alopecuroides 5ct,GRASS,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 24ct,PERENNIAL,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 20ct,PERENNIAL,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 7ct,PERENNIAL,11/02/2010,Meatpacking District
Chelsea Display Garden 4th Westernmost North Bed,PLANTBED,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 3ct,SHRUB,11/02/2010,Meatpacking District
Taxus spp 3ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 3ct,SHRUB,11/02/2010,Meatpacking District
Spirea thunbergii ;Ogon; 3ct,SHRUB,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 7ct,PERENNIAL,11/02/2010,Meatpacking District
Bergenia ;Bressingham Ruby; 3ct,PERENNIAL,11/02/2010,Meatpacking District
Hosta plantaginea 14ct,PERENNIAL,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 26ct,PERENNIAL,11/02/2010,Meatpacking District
Miscanthus sinensis ;Morning Light; 1ct,GRASS,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 22ct,PERENNIAL,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 20ct,PERENNIAL,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 4ct,PERENNIAL,11/02/2010,Meatpacking District
Chelsea Display Garden Easternmost North Bed,PLANTBED,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Cercis canadensis,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 7ct,SHRUB,11/02/2010,Meatpacking District
Juniperus squamata ;Blue Star; 2ct,SHRUB,11/02/2010,Meatpacking District
Prunus laurocerasus 9ct,SHRUB,11/02/2010,Meatpacking District
Taxus spp 5ct,SHRUB,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 14ct,SHRUB,11/02/2010,Meatpacking District
Buxus ;Green Velvet; 7ct,SHRUB,11/02/2010,Meatpacking District
Cornus alba ;Elegantissima; 1ct,SHRUB,11/02/2010,Meatpacking District
Cornus sanguinea ;Midwinter Fire; 3ct,SHRUB,11/02/2010,Meatpacking District
Hibiscus syriacus ;Bluebird;  1ct,SHRUB,11/02/2010,Meatpacking District
Hydrangea paniculata ;Tardiva; 1ct,SHRUB,11/02/2010,Meatpacking District
Hydrangea quercifolia 2ct,SHRUB,11/02/2010,Meatpacking District
Hypericum calycinum 13ct,SHRUB,11/02/2010,Meatpacking District
Ilex verticillata 5ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 5ct,SHRUB,11/02/2010,Meatpacking District
Spirea thunbergii ;Ogon; 3ct,SHRUB,11/02/2010,Meatpacking District
Amsonia hubrectii 17ct,PERENNIAL,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 6ct,PERENNIAL,11/02/2010,Meatpacking District
Ceratostigma 7ct,PERENNIAL,11/02/2010,Meatpacking District
Euphorbia amygdaloides var. ;Robbiae; 16ct,PERENNIAL,11/02/2010,Meatpacking District
Hemerocallis ;Happy Returns; 40ct,PERENNIAL,11/02/2010,Meatpacking District
Hosta plantaginea 13ct,PERENNIAL,11/02/2010,Meatpacking District
Imperata cylindrica 50ct,PERENNIAL,11/02/2010,Meatpacking District
Miscanthus sinensis ;Morning Light; 2ct,GRASS,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 8ct,PERENNIAL,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 32ct,PERENNIAL,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 33ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum spectabilis ;Autumn Joy; 12ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum cauticola ;Lidakense; 12ct,PERENNIAL,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 3ct,PERENNIAL,11/02/2010,Meatpacking District
Chelsea Display Garden 2nd Westernmost  North Bed,PLANTBED,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Chamaecyparis pisifera ;The Mops; 1ct,SHRUB,11/02/2010,Meatpacking District
Juniperus squamata ;Blue Star; 1ct,SHRUB,11/02/2010,Meatpacking District
Taxus spp 2ct,SHRUB,11/02/2010,Meatpacking District
Berberis thunbergii v. atropurpurea ;Crimson Pygmy; 12ct,SHRUB,11/02/2010,Meatpacking District
Buxus ;Green Velvet; 10ct,SHRUB,11/02/2010,Meatpacking District
Cornus alba ;Elegantissima; 1ct,SHRUB,11/02/2010,Meatpacking District
Hibiscus syriacus ;Bluebird;  1ct,SHRUB,11/02/2010,Meatpacking District
Rosa ;Radrazz; Knockout 2ct,SHRUB,11/02/2010,Meatpacking District
Spirea thunbergii ;Ogon; 7ct,SHRUB,11/02/2010,Meatpacking District
Anemone japonica ;Honorine Jobert; 22ct,PERENNIAL,11/02/2010,Meatpacking District
Hemerocallis ;Happy Returns; 18ct,PERENNIAL,11/02/2010,Meatpacking District
Heuchera americana ;Plum Pudding; 2ct,PERENNIAL,11/02/2010,Meatpacking District
Imperata cylindrica 30ct,PERENNIAL,11/02/2010,Meatpacking District
Aster ;Purple Dome; 2ct,PERENNIAL,11/02/2010,Meatpacking District
Hosta plantaginea 6ct,PERENNIAL,11/02/2010,Meatpacking District
Nepeta faasenii ;Blue Wonder; 47ct,PERENNIAL,11/02/2010,Meatpacking District
Pennisetum alopecuroides 7ct,GRASS,11/02/2010,Meatpacking District
Persicaria amplexicaulis ;Firetail; 47ct,PERENNIAL,11/02/2010,Meatpacking District
Salvia sylvestris ;Blue Hill; 47ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum spectabilis ;Autumn Joy; 8ct,PERENNIAL,11/02/2010,Meatpacking District
Sedum cauticola ;Lidakense; 7ct,PERENNIAL,11/02/2010,Meatpacking District
Yucca filamentosa ;Color Guard; 6ct,PERENNIAL,11/02/2010,Meatpacking District
Chelsea Display Garden Westernmost North Bed,PLANTBED,11/02/2010,Meatpacking District
Abies concolor,TREE,11/02/2010,Meatpacking District
Juniperus scopularum ;Blue Arrow;,TREE,11/02/2010,Meatpacking District
Cercis canadensis,TREE,11/02/2010,Meatpacking District
Cercis canadensis,TREE,11/02/2010,Meatpacking District
Cercis canadensis,TREE,11/02/2010,Meatpacking District
Prunus x cistena,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
